#ref_id	pos	pos_read_coverage	pos_read_with_SL
MSTRG.9240.1	1523	19332	5
MSTRG.9240.1	1582	32812	2
MSTRG.9371.1	1	689	532
MSTRG.9371.1	2	692	1
MSTRG.9371.1	34	1156	2
MSTRG.9541.1	247	2503	1
MSTRG.9541.1	588	1714	25
MSTRG.9958.1	1	3187	2625
MSTRG.9958.1	2	3209	11
MSTRG.9958.1	3	3225	1
MSTRG.9958.1	4	3240	2
MSTRG.9958.1	65	7795	230
MSTRG.9958.1	66	7835	2
MSTRG.10333.1	2	164	143
MSTRG.11129.2	1	2440	1
MSTRG.11129.2	2	2453	1787
MSTRG.11129.2	3	2462	3
MSTRG.11129.2	122	2708	4
MSTRG.11129.2	595	4144	599
MSTRG.11129.2	642	4787	130
MSTRG.11129.2	646	3717	1
MSTRG.11129.2	928	2481	1
MSTRG.11129.2	1175	5198	1117
MSTRG.11129.2	1177	6493	1
MSTRG.11129.2	1179	6494	1
MSTRG.11129.2	2128	3186	95
MSTRG.11129.2	2333	80924	4
MSTRG.11129.2	2340	89322	25
MSTRG.11129.2	2540	1108	1
MSTRG.11129.2	2613	22072	1
MSTRG.11129.2	2615	27430	1
MSTRG.11129.2	2616	55503	1
MSTRG.11129.2	2617	63892	4
MSTRG.11129.2	2619	81578	1
MSTRG.11129.2	2622	95974	3
MSTRG.11129.2	2740	42132	2
MSTRG.11129.2	2753	60715	3
MSTRG.11129.2	2771	64484	1
MSTRG.11129.2	2828	269757	9
MSTRG.11129.2	2829	328110	4
MSTRG.11129.2	2830	377129	1
MSTRG.11129.2	2833	459184	3
MSTRG.11129.2	2835	497532	1
MSTRG.11129.2	2837	530077	1
MSTRG.11129.2	2845	608022	1
MSTRG.11129.2	2866	684593	2
MSTRG.11129.2	2872	712093	18
MSTRG.11129.2	2880	682562	1
MSTRG.11129.2	2881	691605	2
MSTRG.11129.2	2883	704099	1
MSTRG.11129.2	3031	57941	1
MSTRG.11129.2	3133	96661	1
MSTRG.11129.2	3150	100430	3
MSTRG.11129.2	3220	67815	4
MSTRG.11129.2	3221	80974	1
MSTRG.11129.2	3222	93167	1
MSTRG.11129.2	3233	230777	1
MSTRG.11129.2	3239	337197	1
MSTRG.11129.2	3266	456193	2
MSTRG.11129.2	3281	448534	1
MSTRG.11129.2	3285	578644	2
MSTRG.11129.2	3286	619638	2
MSTRG.11129.2	3293	743776	1
MSTRG.11129.2	3296	768448	1
MSTRG.11129.2	3837	35922	2
MSTRG.11290.1	2	15	10
MSTRG.11290.1	22	1756	1484
MSTRG.11290.1	23	1809	3
MSTRG.11290.1	221	1897	3
MSTRG.11794.2	1	3843	2783
MSTRG.11794.2	2	3942	10
MSTRG.11794.2	3	3970	7
MSTRG.11794.2	4	4008	1
MSTRG.11874.1	36	295	210
MSTRG.11874.1	1264	15067	4
MSTRG.11874.1	1265	27643	1
MSTRG.11874.1	1266	36670	1
MSTRG.11874.1	1267	47899	1
MSTRG.11874.1	1268	63019	4
MSTRG.11874.1	1269	68158	1
MSTRG.11874.1	1274	87516	1
MSTRG.11874.1	1285	116532	2
MSTRG.11874.1	1286	117713	8
MSTRG.11874.1	1292	130355	16
MSTRG.11874.1	1294	132829	4
MSTRG.11874.1	1363	33059	1
MSTRG.11874.1	1399	52442	1
MSTRG.11874.1	1426	57636	1
MSTRG.11874.1	1443	51637	2
MSTRG.11892.1	70	3817	87
MSTRG.11892.1	125	5688	3
MSTRG.11892.1	276	2880	3
MSTRG.11892.1	278	4090	5
MSTRG.11892.1	1549	72242	1
MSTRG.11892.1	1550	72870	8
MSTRG.11892.1	1643	313	4
MSTRG.12045.1	379	8667	1
MSTRG.12344.1	2	506	386
MSTRG.12344.1	3	518	3
MSTRG.12344.1	6	557	1
MSTRG.12344.1	679	2102	1
MSTRG.12344.1	880	19173	2
MSTRG.12686.1	57	1789	1435
MSTRG.12686.1	530	2750	1
MSTRG.12686.1	587	2937	1
MSTRG.12686.1	1882	164904	10
MSTRG.12686.1	1884	164615	3
MSTRG.12686.1	1885	164885	794
MSTRG.12686.1	1887	167331	25
MSTRG.12686.1	1893	169654	4
MSTRG.12686.1	1896	169031	154
MSTRG.12686.1	1898	167443	5
MSTRG.12755.1	29	586	388
MSTRG.12755.1	30	590	3
MSTRG.12850.5	185	1409	6
MSTRG.12850.5	358	2768	1
MSTRG.12850.5	398	3208	2
MSTRG.12850.5	479	8967	1
MSTRG.12850.5	515	17536	1
MSTRG.13131.1	171	397	291
MSTRG.13131.1	199	512	12
MSTRG.13387.1	54	1342	1133
MSTRG.13387.1	55	1365	4
MSTRG.13387.1	57	1383	1
MSTRG.13387.1	926	1893	11
MSTRG.13387.1	2216	3073	2
MSTRG.13414.1	1	5526	4726
MSTRG.13414.1	2	5553	6
MSTRG.13414.1	3	5768	3
MSTRG.13414.1	4	5880	4
MSTRG.13414.1	1318	8102	1
MSTRG.13416.1	1	2035	1
MSTRG.13416.1	2	2120	1673
MSTRG.13416.1	3	2147	6
MSTRG.13416.1	4	2221	1
MSTRG.13416.1	6	2381	20
MSTRG.13416.1	558	3643	1
MSTRG.13416.1	777	3560	1
MSTRG.13433.1	382	46	1
MSTRG.13433.1	391	490	400
MSTRG.13433.1	392	504	3
MSTRG.13433.1	433	955	65
MSTRG.13433.1	497	1128	3
MSTRG.13432.1	22	2691	48
MSTRG.13432.1	23	2732	1284
MSTRG.13432.1	24	2765	3
MSTRG.13432.1	25	2789	2
MSTRG.13432.1	29	3214	2
MSTRG.13432.1	30	3282	1
MSTRG.13432.1	61	4578	1
MSTRG.13432.1	96	2046	2
MSTRG.13432.1	3379	1904	1
MSTRG.13579.1	26	991	764
MSTRG.13579.1	27	1020	4
MSTRG.13579.1	33	1242	1
MSTRG.13579.1	124	2144	2
MSTRG.13579.1	1661	4872	16
MSTRG.13579.1	1672	5521	38
MSTRG.13579.1	1780	8123	228
MSTRG.13579.1	1785	10274	24
MSTRG.13579.1	2071	22813	1
MSTRG.13579.1	2945	12585	1
MSTRG.13579.1	3209	12497	6
MSTRG.13717.1	2	167	124
MSTRG.13717.1	491	230	1
MSTRG.13717.1	1165	656	1
MSTRG.13717.1	2258	240	1
MSTRG.13723.1	30	5818	22
MSTRG.13723.1	116	25639	1
MSTRG.13723.1	710	14455	1
MSTRG.15162.1	1199	582	2
MSTRG.15162.1	1204	7726	1
MSTRG.15162.1	1206	10596	3
MSTRG.15162.1	1214	19481	1
MSTRG.15480.1	1	5751	4336
MSTRG.15480.1	2	5802	9
MSTRG.15480.1	3	5871	6
MSTRG.15480.1	4	5930	12
MSTRG.15480.1	23	8150	2
MSTRG.15480.1	1186	51028	1
MSTRG.15480.1	1193	59180	1
MSTRG.15534.1	1	1018	755
MSTRG.15534.1	2	1046	2
MSTRG.15534.1	3	1083	2
MSTRG.15872.1	1	45	25
MSTRG.15911.1	1	1256	1059
MSTRG.15911.1	2	1274	2
MSTRG.16505.1	6	5556	1
MSTRG.16505.1	58	1648	1239
MSTRG.16505.1	59	1682	2
MSTRG.16505.1	60	1708	1
MSTRG.16505.1	61	1713	2
MSTRG.16505.1	204	17272	1
MSTRG.16505.1	211	21881	5
MSTRG.16505.1	219	30787	2
MSTRG.16505.1	220	31111	1
MSTRG.16505.1	318	769	2
MSTRG.16505.1	358	846	2
MSTRG.16505.1	406	1067	4
MSTRG.16505.1	669	1515	23
MSTRG.16785.1	1	852	704
MSTRG.16785.1	2	856	1
MSTRG.16785.1	3	914	1
MSTRG.16785.1	93	1773	2
MSTRG.16785.1	221	2591	1
MSTRG.16785.1	222	2559	41
MSTRG.16785.1	1184	1887	3
MSTRG.16785.1	1318	1436	1
MSTRG.16785.1	1326	2115	10
MSTRG.17384.1	140	721	23
MSTRG.17384.1	203	689	6
MSTRG.17384.1	1282	440	1
MSTRG.17428.2	202	5717	5
MSTRG.17428.2	259	6314	19
MSTRG.17803.1	26	13	4
MSTRG.17803.1	154	3931	1
MSTRG.18860.1	31	526	435
MSTRG.18860.1	32	532	1
MSTRG.18860.1	987	68131	1
MSTRG.18860.1	992	75568	7
MSTRG.18860.1	993	82095	1
MSTRG.18860.1	1005	96186	1
MSTRG.18860.1	1011	113946	1
MSTRG.18860.1	1354	430	1
MSTRG.18906.1	129	258	48
MSTRG.18906.1	163	511	148
MSTRG.19005.3	8	56952	1
MSTRG.19005.3	99	131	2
MSTRG.19005.3	325	4256	12
MSTRG.19005.3	517	124	1
MSTRG.19143.1	56	5347	4
MSTRG.19143.1	890	7267	1
MSTRG.19143.1	894	8826	1
MSTRG.19143.1	896	9852	1
MSTRG.19143.1	899	12912	2
MSTRG.19143.1	904	15438	6
MSTRG.19143.1	907	18552	33
MSTRG.19143.1	912	21595	1
MSTRG.19143.1	925	33091	1
MSTRG.19222.1	1	115	90
MSTRG.19364.1	1	20	1
MSTRG.19364.1	61	793	393
MSTRG.19364.1	62	802	1
MSTRG.19364.1	118	3330	27
MSTRG.19364.1	123	8128	1
MSTRG.19364.1	132	21508	43
MSTRG.19364.1	150	29866	1
MSTRG.19364.1	190	61673	10
MSTRG.19364.1	243	59174	1
MSTRG.19364.1	379	43869	1
MSTRG.19364.1	544	69742	4
MSTRG.19364.1	716	30622	1
MSTRG.19364.1	1135	38634	1
MSTRG.19364.1	1544	51457	1
MSTRG.19480.1	689	5062	1
MSTRG.19480.1	914	3723	1
MSTRG.19480.1	3284	352	1
MSTRG.19767.1	1	782	521
MSTRG.19767.1	2	801	1
MSTRG.19767.1	3	818	2
MSTRG.19767.1	4	845	1
MSTRG.19767.1	254	2594	1
MSTRG.19878.1	1	4702	3559
MSTRG.19878.1	2	4807	10
MSTRG.19878.1	3	4870	11
MSTRG.19878.1	5	5000	30
MSTRG.19878.1	11	5567	1
MSTRG.19878.1	516	7881	2
MSTRG.19878.1	852	35865	13
MSTRG.20131.1	1	2910	1
MSTRG.20131.1	2	2941	2644
MSTRG.20131.1	3	2977	2
MSTRG.20131.1	4	2999	2
MSTRG.20131.1	5	3008	1
MSTRG.20131.1	13	3406	4
MSTRG.20131.1	35	4564	7
MSTRG.20503.1	246	3787	4
MSTRG.20503.1	383	3213	6
MSTRG.20764.1	137	2159	629
MSTRG.20764.1	138	2171	1
MSTRG.20764.1	172	2778	1
MSTRG.20764.1	398	3434	1
MSTRG.20764.1	399	5145	159
MSTRG.20764.1	403	10015	8
MSTRG.20764.1	404	11344	2
MSTRG.20764.1	405	13046	18
MSTRG.20764.1	408	16622	1
MSTRG.20764.1	409	17259	1
MSTRG.20764.1	411	18980	6
MSTRG.20764.1	414	21614	2
MSTRG.20764.1	418	24160	1
MSTRG.20764.1	420	25340	1
MSTRG.20764.1	426	28567	1
MSTRG.20764.1	429	29933	7
MSTRG.20764.1	430	30107	1
MSTRG.20764.1	439	31889	11
MSTRG.20764.1	541	9752	3
MSTRG.20764.1	544	11544	1
MSTRG.20764.1	571	19284	11
MSTRG.20764.1	852	48119	4
MSTRG.20764.1	853	58887	7
MSTRG.20764.1	867	88043	2
MSTRG.21143.1	375	230	1
MSTRG.21143.1	2630	423	3
MSTRG.21143.1	2771	37263	26
MSTRG.21233.1	38	2884	6
MSTRG.21233.1	161	6632	13
MSTRG.21233.1	370	7103	1
MSTRG.21654.2	2	1420	1101
MSTRG.21654.2	3	1468	1
MSTRG.21654.2	7	1635	1
MSTRG.21654.2	110	1846	21
MSTRG.21654.2	1486	2452	1
MSTRG.21654.2	4855	31066	5
MSTRG.21654.2	4881	182382	2
MSTRG.21654.2	4887	205193	1
MSTRG.21654.2	4917	296564	1
MSTRG.21654.2	4919	311396	5
MSTRG.21654.2	4978	274410	2
MSTRG.21654.2	5060	160798	13
MSTRG.21654.2	5069	202368	10
MSTRG.21654.2	5075	256682	34
MSTRG.21654.2	5078	340256	186
MSTRG.21654.2	5080	360067	1
MSTRG.21654.2	5090	449472	1
MSTRG.21654.2	5102	612583	1
MSTRG.21654.2	5109	708867	14
MSTRG.21654.2	5111	733393	7
MSTRG.21654.2	5121	785855	4
MSTRG.21654.2	5123	790874	1
MSTRG.21654.2	5132	802044	2
MSTRG.21654.2	5134	802917	3
MSTRG.21654.2	5136	826937	507
MSTRG.21654.2	5137	832558	1
MSTRG.21654.2	5141	841631	4
MSTRG.21654.2	5160	1055929	80
MSTRG.21654.2	5162	1104822	9
MSTRG.21654.2	5164	1112331	1
MSTRG.21654.2	5181	1043902	1
MSTRG.21654.2	5221	946957	1
MSTRG.21654.2	5232	971993	2
MSTRG.21654.2	5237	860530	2
MSTRG.21922.1	148	789	529
MSTRG.21922.1	149	797	2
MSTRG.21922.1	242	1572	2
MSTRG.21922.1	807	1943	1
MSTRG.21922.1	2187	5548	2
MSTRG.21922.1	2188	7965	1
MSTRG.21922.1	2191	10307	1
MSTRG.21922.1	2228	61838	2
MSTRG.21922.1	2558	25262	6
MSTRG.21922.1	2564	49925	1
MSTRG.21922.1	2940	31187	1
MSTRG.21922.1	2943	34221	252
MSTRG.21922.1	2945	36832	1
MSTRG.21953.1	1	18	9
MSTRG.21953.1	156	972	1
MSTRG.21953.1	2616	400921	1
MSTRG.21953.1	2621	572032	1
MSTRG.21953.1	2631	853835	1
MSTRG.21953.1	2632	875324	1
MSTRG.21953.1	2644	1106892	1
MSTRG.21953.1	2652	1224515	1
MSTRG.21953.1	2659	1318696	1
MSTRG.21953.1	2714	1009340	1
MSTRG.22014.1	662	306	1
MSTRG.22014.1	706	934	2
MSTRG.22014.1	736	1257	3
MSTRG.22014.1	915	815	5
MSTRG.22014.1	1447	91	1
MSTRG.22796.1	479	4838	2
MSTRG.23120.1	260	714	22
MSTRG.23120.1	2090	645	9
MSTRG.23120.1	2476	472	7
MSTRG.23120.1	2512	924	15
MSTRG.23120.1	2522	980	1
MSTRG.23120.1	2524	986	2
MSTRG.23289.1	7	113	1
MSTRG.23289.1	39	218	1
MSTRG.23289.1	217	86	29
MSTRG.23289.1	274	15604	18
MSTRG.23289.2	157	509	1
MSTRG.23289.2	166	5861	4249
MSTRG.23289.2	167	6118	8
MSTRG.23289.2	223	32659	45
MSTRG.23343.1	10	3282	2788
MSTRG.23343.1	11	3421	4
MSTRG.23343.1	12	3468	2
MSTRG.23343.1	1410	8777	2
MSTRG.23381.1	2	1553	1329
MSTRG.23381.1	3	1678	2
MSTRG.23381.1	27	4233	1115
MSTRG.23381.1	53	5804	18
MSTRG.23658.1	1093	377	2
MSTRG.23658.1	1213	45512	1
MSTRG.23658.1	1231	88854	17
MSTRG.24012.1	2	715	586
MSTRG.24199.1	264	23099	3
MSTRG.24199.1	1196	10206	1
MSTRG.24199.1	1725	10290	2
MSTRG.24199.1	1781	12483	2
MSTRG.24199.1	1880	77017	1
MSTRG.24199.1	1894	105631	1
